jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros,Cluster,Perfil,Amarelo_Pontuacao,Vermelho_Pontuacao,Falta Cometida_Pontuacao,interceptacao_Pontuacao,recuperacoes_Pontuacao,Duelos Aereoes W_Pontuacao,Divididas Ganhas_Pontuacao,Clearence_Pontuacao,Erros_Pontuacao,Pontuacao_Total,Pontuacao
Lucas Mineiro,Cuiabá,MF,27,2338,18,85,7,0,0,60,10,100,39,28,58.2,61,35,57,1,2,volante defensivos,-35,0,-120,20,200,156,210,285,1,717,61.375126390293225
Max,Cuiabá,MF,22,1217,20,58,3,0,0,13,16,63,13,15,46.4,17,12,11,0,4,volante reserva,-15,0,-26,32,126,52,72,55,0,296,18.806875631951467
Allan,Flamengo,MF,26,1412,16,75,7,1,1,30,22,62,18,12,60.0,30,15,20,1,3,volante ofensivo,-35,-10,-60,44,124,72,90,100,1,326,21.840242669362993
Erick Pulgar,Flamengo,MF,30,1750,12,110,7,1,1,33,29,94,33,20,62.3,51,28,27,1,3,volante ofensivo,-35,-10,-66,58,188,132,168,135,1,571,46.61274014155713
Evertton,Flamengo,MF,20,803,9,41,3,0,0,14,16,54,8,10,44.4,21,15,13,1,4,volante reserva,-15,0,-28,32,108,32,90,65,1,285,17.69464105156724
Giorgian De Arrascaeta,Flamengo,MF,29,1007,19,80,2,0,0,11,4,46,6,9,40.0,16,12,3,0,4,volante reserva,-10,0,-22,8,92,24,72,15,0,179,6.976744186046512
Nicolás De La Cruz,Flamengo,MF,26,1010,18,104,3,0,0,20,8,66,10,17,37.0,20,14,6,2,4,volante reserva,-15,0,-40,16,132,40,84,30,2,249,14.054600606673407
Alexsander,Fluminense,MF,20,791,15,36,4,0,0,21,9,50,6,10,37.5,24,12,9,0,4,volante reserva,-20,0,-42,18,100,24,72,45,0,197,8.796764408493427
André,Fluminense,MF,22,1072,9,64,5,0,0,17,15,87,4,5,44.4,24,16,14,0,4,volante reserva,-25,0,-34,30,174,16,96,70,0,327,21.941354903943378
Facundo Bernal,Fluminense,MF,20,943,3,51,6,0,0,19,8,49,17,9,65.4,26,11,20,0,0,volante equilibrado,-30,0,-38,16,98,68,66,100,0,280,17.18907987866532
