jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas,Cluster,Perfil,xG_Pontuacao,xAG_Pontuacao,G-PK_Pontuacao,Assistencias_Pontuacao,Acoes Ofensivas_Pontuacao,Key_Pass_Pontuacao,Passing 1/3_Pontuacao,Cross_Pontuacao,%Dribles_Pontuacao,Pontuacao_Total,Pontuacao
Filipe Augusto,Cuiabá,MF,844,0.3,0.1,0,0,5,32,2,30,2,11,8,,9.024390243902438,1,mei apoio,0.33,0.18500000000000003,0.0,0,10.829268292682926,3.0,33.0,2.0,,49.344268292682926,4.656828763325917
Isidro Pitta,Cuiabá,FW,2831,9.7,3.9,4,2,50,52,37,23,17,50,17,,24.878048780487806,2,mei assist,10.67,7.215,7.2,4,29.853658536585364,55.5,25.3,17.0,,156.73865853658538,19.314218433943513
Jonathan Cafu,Cuiabá,"FW,MF",1392,2.3,1.2,1,2,39,43,14,26,47,41,20,,20.0,1,mei apoio,2.53,2.22,1.8,4,24.0,21.0,28.6,47.0,,131.15,15.821829879315056
Lucas Fernandes,Cuiabá,"MF,FW",1039,0.8,0.7,1,1,16,45,18,32,23,19,12,,14.878048780487804,1,mei apoio,0.8800000000000001,1.295,1.8,2,17.853658536585364,27.0,35.2,23.0,,109.02865853658537,12.802667322223597
Lucas Mineiro,Cuiabá,MF,2338,0.6,0.2,0,0,18,85,8,83,1,20,15,,25.121951219512194,1,mei apoio,0.66,0.37000000000000005,0.0,0,30.146341463414632,12.0,91.30000000000001,1.0,,135.47634146341466,16.412297151706117
Max,Cuiabá,MF,1217,1.1,1.5,1,0,20,58,17,53,52,25,17,,19.024390243902438,1,mei apoio,1.2100000000000002,2.7750000000000004,1.8,0,22.829268292682926,25.5,58.300000000000004,52.0,,164.41426829268295,20.36180018285245
Allan,Flamengo,MF,1412,0.3,0.5,0,0,16,75,11,99,4,15,2,,22.195121951219512,1,mei apoio,0.33,0.925,0.0,0,26.634146341463413,16.5,108.9,4.0,,157.28914634146344,19.389350051588494
Bruno Henrique,Flamengo,"FW,MF",2070,6.4,1.9,5,1,70,62,22,22,24,62,20,,32.19512195121951,2,mei assist,7.040000000000001,3.515,9.0,2,38.63414634146341,33.0,24.200000000000003,24.0,,141.3891463414634,17.219287953991618
Carlos Alcaraz,Flamengo,"MF,FW",751,3.3,0.6,0,1,26,39,17,42,30,32,14,,15.853658536585366,1,mei apoio,3.63,1.11,0.0,2,19.024390243902438,25.5,46.2,30.0,,127.46439024390244,15.318810883199296
Erick Pulgar,Flamengo,MF,1750,1.0,1.8,0,3,12,110,20,127,10,10,5,,29.756097560975608,4,finalizadores criativos,1.1,3.33,0.0,6,35.70731707317073,30.0,139.70000000000002,10.0,,225.83731707317074,28.74493414998328
Evertton,Flamengo,MF,803,0.9,0.2,1,0,9,41,6,62,3,7,6,,12.195121951219512,1,mei apoio,0.9900000000000001,0.37000000000000005,1.8,0,14.634146341463413,9.0,68.2,3.0,,97.99414634146342,11.296656210267333
Gabriel Barbosa,Flamengo,"FW,MF",754,5.2,0.9,2,1,17,24,9,14,11,6,2,,10.0,1,mei apoio,5.720000000000001,1.665,3.6,2,12.0,13.5,15.400000000000002,11.0,,64.885,6.777857244267469
Gerson,Flamengo,"MF,FW",2457,2.3,3.7,3,6,71,181,41,110,35,80,36,,61.46341463414634,5,dribladores_cross,2.53,6.845000000000001,5.4,12,73.7560975609756,61.5,121.00000000000001,35.0,,318.03109756097564,41.327715827389014
